# Time-averaged data for fix data1
# TimeStep v_E v_Temp v_Pres v_Dens
500 -5521.37 280.136 4985.83 0.789342
1000 -4349.48 305.828 2555.27 0.788912
1500 -4650.94 303.779 1752.5 0.788483
2000 -4681.33 304.039 1448.37 0.788054
2500 -4671.7 305.225 1194 0.787625
3000 -4815.02 302.823 1107.68 0.787198
3500 -4816.83 303.006 1165.01 0.78677
4000 -4805.92 303.203 996.007 0.786344
4500 -4894 301.985 912.941 0.785917
5000 -4854.75 302.675 811.767 0.785492
5500 -4825.03 303.61 786.687 0.785066
6000 -4892.46 302.423 872.391 0.784642
6500 -4948.35 301.475 869.255 0.784218
7000 -4743.32 304.898 723.709 0.783794
7500 -4796.47 304.126 634.587 0.783371
8000 -4847.28 303.517 679.731 0.782948
8500 -4865.48 302.745 636.018 0.782526
9000 -4764.12 304.589 698.902 0.782105
9500 -4767.03 304.336 625.321 0.781683
10000 -4865.97 302.977 671.009 0.781263
10500 -4775.53 303.851 654.123 0.780843
11000 -4774.65 304.057 727.374 0.780423
11500 -4856.62 302.924 646.001 0.780004
12000 -4876.45 302.644 568.454 0.779586
12500 -4775.66 304.405 620.529 0.779168
13000 -4835.31 303.256 588.469 0.77875
13500 -4857.3 302.741 518.433 0.778333
14000 -4776.04 304.301 598.043 0.777917
14500 -4755.8 304.698 557.472 0.777501
15000 -4863.66 302.136 577.959 0.777085
15500 -4856.21 302.397 486.593 0.77667
16000 -4821.83 303.186 453.581 0.776256
16500 -4786.82 303.346 543.234 0.775842
17000 -4754.06 303.629 534.305 0.775428
17500 -4760.6 303.646 551.174 0.775016
18000 -4765.51 303.46 435.532 0.774603
18500 -4769.87 303.746 423.014 0.774191
19000 -4809.43 302.861 429.589 0.77378
19500 -4757.23 303.547 524.368 0.773369
20000 -4789.59 303.315 410.034 0.772958
20500 -4740.98 303.434 583.609 0.772548
21000 -4793.57 302.579 462.923 0.772139
21500 -4818.53 302.117 475.131 0.77173
22000 -4766.55 303.355 489.038 0.771321
22500 -4751.32 303.533 479.336 0.770913
23000 -4843.53 302.206 394.238 0.770506
23500 -4809.09 302.207 504.866 0.770099
24000 -4677.42 304.083 478.043 0.769692
24500 -4699.56 303.704 483.756 0.769286
25000 -4745.2 303.283 497.31 0.768881
25500 -4705.37 303.571 497.184 0.768476
26000 -4772.37 302.669 537.495 0.768071
26500 -4772.38 302.063 526.094 0.767667
27000 -4724.24 303.209 529.895 0.767263
27500 -4754.11 302.474 519.727 0.76686
28000 -4683.27 303.82 530.154 0.766458
28500 -4558.78 305.645 457.906 0.766056
29000 -4568.75 305.597 405.967 0.765654
29500 -4713 303.247 428.507 0.765253
30000 -4663.36 303.849 432.165 0.764852
30500 -4692.59 303.439 427.566 0.764452
31000 -4727.25 302.863 497.424 0.764052
31500 -4757.04 302.257 422.68 0.763653
32000 -4647.51 303.946 415.453 0.763254
32500 -4747.77 302.075 447.204 0.762856
33000 -4712.41 302.945 361.125 0.762458
33500 -4642.14 304.404 307.993 0.762061
34000 -4726.69 302.294 391.709 0.761664
34500 -4653.32 303.625 420.863 0.761267
35000 -4662.12 303.603 435.824 0.760872
35500 -4802.14 301.041 474.479 0.760476
36000 -4678.34 303.026 414.902 0.760081
36500 -4638.65 303.633 487.782 0.759687
37000 -4732.08 302.602 347.594 0.759293
37500 -4727.36 302.867 246.282 0.758899
38000 -4637.23 304.101 423.399 0.758506
38500 -4581.48 304.67 343.876 0.758114
39000 -4569.51 304.863 283.309 0.757721
39500 -4658.21 303.085 376.965 0.75733
40000 -4720.14 302.482 428.388 0.756939
40500 -4628.32 303.842 307.208 0.756548
41000 -4633.57 303.429 266.926 0.756158
41500 -4652.97 303.399 245.464 0.755768
42000 -4669.32 302.764 264.18 0.755379
42500 -4633.64 303.232 238.286 0.75499
43000 -4588.52 304.376 181.563 0.754601
43500 -4588.26 304.143 285.357 0.754213
44000 -4602.68 303.864 326.429 0.753826
44500 -4708.27 301.911 298.425 0.753439
45000 -4728.55 302.076 154.438 0.753052
45500 -4663.1 303.075 289.957 0.752666
46000 -4667.9 302.762 295.304 0.752281
46500 -4624.9 303.069 352.755 0.751896
47000 -4638.41 303.472 233.775 0.751511
47500 -4685.96 302.676 231.857 0.751127
48000 -4566.33 304.198 297.585 0.750743
48500 -4697.44 301.834 205.915 0.750359
49000 -4591.86 303.529 361.597 0.749977
49500 -4599.6 303.325 250.027 0.749594
50000 -4555.27 304.183 335.565 0.749212
50500 -4711.3 301.535 158.647 0.748831
51000 -4580.71 303.304 254.951 0.74845
51500 -4466.6 304.992 317.151 0.748069
52000 -4515.8 304.296 334.692 0.747689
52500 -4571.38 303.67 239.475 0.747309
53000 -4614.48 302.567 156.534 0.74693
53500 -4514.77 304.047 231.724 0.746551
54000 -4561.47 303.157 252.154 0.746173
54500 -4625.25 302.521 175.32 0.745795
55000 -4554.15 302.987 272.978 0.745418
55500 -4617.83 302.291 224.687 0.745041
56000 -4581.84 303.58 94.0226 0.744664
56500 -4628.23 302.507 285.696 0.744288
57000 -4541.69 303.063 278.09 0.743912
57500 -4597.79 302.971 129.431 0.743537
58000 -4636.74 301.84 207.2 0.743162
58500 -4547.51 303.763 167.637 0.742788
59000 -4658.85 301.853 147.143 0.742414
59500 -4535.24 304.089 167.23 0.742041
60000 -4509.96 304.161 154.248 0.741668
60500 -4647.02 301.813 171.253 0.741295
61000 -4505.47 304.446 202.14 0.740923
61500 -4476.59 304.501 14.9349 0.740551
62000 -4487.64 304.195 135.53 0.74018
62500 -4467.64 304.611 159.608 0.739809
63000 -4610.79 302.36 44.4322 0.739439
63500 -4530.23 303.059 176.839 0.739069
64000 -4554.52 302.989 141.381 0.738699
64500 -4559.56 302.964 122.811 0.73833
65000 -4611.3 302.004 62.8116 0.737962
65500 -4519.23 303.598 185.66 0.737594
66000 -4523.75 303.553 36.8784 0.737226
66500 -4452.4 304.418 73.3632 0.736859
67000 -4522.24 303.273 212.614 0.736492
67500 -4606.22 301.795 146.579 0.736125
68000 -4469.36 304.084 193.711 0.735759
68500 -4579.72 302.145 -11.5252 0.735394
69000 -4466.92 303.838 87.0384 0.735028
69500 -4405.53 304.758 138.574 0.734664
70000 -4460.33 303.739 195.675 0.734299
70500 -4660.98 300.853 -17.1641 0.733936
71000 -4483.71 303.509 117.391 0.733572
71500 -4682.4 300.777 30.5214 0.733209
72000 -4506.67 302.828 112.416 0.732847
72500 -4506.67 303.058 117.834 0.732484
73000 -4494.12 303.155 127.865 0.732123
73500 -4544.68 302.601 -57.4286 0.731761
74000 -4478.93 303.347 -54.8821 0.7314
74500 -4522.55 302.291 25.4303 0.73104
75000 -4363.73 304.941 -10.5569 0.73068
75500 -4563.5 302.218 -20.0429 0.73032
76000 -4479.1 303.321 216.881 0.729961
76500 -4486.79 302.985 50.0612 0.729602
77000 -4465.31 303.724 -41.1901 0.729244
77500 -4370.43 304.928 57.4494 0.728886
78000 -4378.06 304.98 65.0801 0.728529
78500 -4473.47 303.091 82.8366 0.728172
79000 -4442.48 304.051 -55.6207 0.727815
79500 -4504.16 302.933 -9.75494 0.727459
80000 -4542 302.317 42.2688 0.727103
80500 -4497.28 303.184 95.1884 0.726747
81000 -4519.01 302.636 24.4546 0.726392
81500 -4540.54 302.347 -25.9952 0.726038
82000 -4552.76 302.518 -28.2191 0.725684
82500 -4465.69 303.51 -4.04432 0.72533
83000 -4439.64 303.969 -23.8624 0.724977
83500 -4424.85 303.679 76.9065 0.724624
84000 -4494.32 302.833 19.3292 0.724271
84500 -4368.91 304.857 74.1874 0.723919
85000 -4346.63 305.293 -16.5618 0.723567
85500 -4430.91 303.363 6.73625 0.723216
