# Time-averaged data for fix data1
# TimeStep v_E v_Temp v_Pres v_Dens
500 119603 1171.96 671786 2.48582
1000 38488.3 320.223 452309 2.47174
1500 34482.5 305.396 433092 2.45778
2000 32346.3 305.328 418834 2.44393
2500 30313.4 303.805 405437 2.4302
3000 28639.6 304.716 393983 2.41658
3500 26934.1 303.179 382516 2.40307
4000 25363.5 302.751 371464 2.38967
4500 23852.5 302.322 360668 2.37639
5000 22438.5 302.128 350299 2.36321
5500 21146.9 302.991 340334 2.35014
6000 19802 303.109 330403 2.33717
6500 18434 302.476 321170 2.32431
7000 17256.6 304.358 311901 2.31155
7500 16024.5 304.241 303533 2.2989
8000 14823.5 303.994 294670 2.28634
8500 13687.9 303.971 286376 2.27389
9000 12554.6 303.787 278198 2.26154
9500 11492.8 303.95 270524 2.24928
10000 10494 304.918 263101 2.23713
10500 9285.86 302.293 255548 2.22507
11000 8412.04 302.788 248313 2.2131
11500 7476.94 303.178 241361 2.20123
12000 6493.87 302.522 234465 2.18945
12500 5792.3 304.678 227830 2.17777
13000 4746.23 302.407 221455 2.16617
13500 3942.78 303.525 214945 2.15467
14000 3165.93 304.231 209319 2.14325
14500 2247.16 303.622 203213 2.13193
15000 1388.21 302.059 197550 2.12069
15500 845.892 304.454 192394 2.10954
16000 19.2381 303.672 186899 2.09847
16500 -709.101 303.251 181864 2.08749
17000 -1416.63 303.278 176442 2.0766
17500 -2068 303.13 171472 2.06579
18000 -2707.3 303.164 166752 2.05506
18500 -3423.31 302.428 162052 2.04441
19000 -4003.25 302.538 157702 2.03384
19500 -4554.67 303.233 153272 2.02335
20000 -5232.9 302.392 148966 2.01294
20500 -5724 302.936 144820 2.00261
21000 -6107.94 305.247 140875 1.99236
21500 -6754.27 303.437 136761 1.98218
22000 -7344.04 302.197 132841 1.97209
22500 -7676.57 304.661 129389 1.96206
23000 -8170.72 304.806 125750 1.95211
23500 -8569.75 305.406 122030 1.94224
24000 -9165.14 303.651 118821 1.93243
24500 -9557.1 303.882 115588 1.9227
25000 -10032.1 303.433 112317 1.91305
25500 -10555.8 302.244 109065 1.90346
26000 -10967.1 302.442 106113 1.89394
26500 -11414.6 301.73 103209 1.88449
27000 -11713.8 303.075 100124 1.87512
27500 -12113.1 302.278 97395.5 1.86581
28000 -12353.1 303.035 94997.9 1.85656
28500 -12680.7 302.654 92187.9 1.84739
29000 -13015.2 302.632 90019.2 1.83828
29500 -13406.1 302.555 87267.3 1.82924
30000 -13624.9 302.802 84859.3 1.82026
30500 -13881.2 304.271 82854.1 1.81134
31000 -14296.2 302.573 80422.1 1.80249
31500 -14496.3 303.781 78294.1 1.79371
32000 -14732.1 303.054 76334.1 1.78498
32500 -15058.6 302.233 74130 1.77632
33000 -15419.5 301.296 72140.8 1.76772
